UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
,,JE Siddelley,Labour,21830,34.77%,,,,
,,Mrs CR Jebb,Liberal Democrat,9326,14.86%,,,,
,,MC Howson,Anti-Federalist League,2121,3.38%,,,,
,,P Davies,Natural Law,261,0.42%,,,,
,,,,,,,,,
Staffordshire South,*,PT Cormack,Conservative,40266,59.67%,82759,22633,81.54%,Conservative Hold
,,BA Wylie,Labour,17633,26.13%,,,,
,,IL Sadler,Liberal Democrat,9584,14.20%,,,,
,,,,,,,,,
Staffordshire South East,*,DL Lightbown,Conservative,29180,50.66%,70207,7192,82.05%,Conservative Hold
,,BD Jenkins,Labour,21988,38.17%,,,,
,,Dr. GN Penlington,Liberal Democrat,5540,9.62%,,,,
,,Miss J Taylor,Independent Ind SD,895,1.55%,,,,
,,,,,,,,,
Stalybridge and Hyde,*,T Pendry,Labour,26207,52.31%,68192,8831,73.46%,Labour Hold
,,TSR Mort,Conservative,17376,34.68%,,,,
,,IM Kirk,Liberal Democrat,4740,9.46%,,,,
,,RGJ Powell,Liberal,1199,2.39%,,,,
,,DJ Poyzer,Monster Raving Loony,337,0.67%,,,,
,,EJ Blomfield,Natural Law,238,0.48%,,,,
,,,,,,,,,
Stamford and Spalding,*,JQ Davies,Conservative,35965,58.96%,75154,22869,81.17%,Conservative Hold
,,LC Burke,Labour,13096,21.47%,,,,
,,BD Lee,Liberal Democrat,11939,19.57%,,,,
,,,,,,,,,
Stevenage,*,TJR Wood,Conservative,26652,45.70%,70229,4888,83.04%,Conservative Hold
,,Mrs JA Church,Labour,21764,37.32%,,,,
,,AA Reilly,Liberal Democrat,9668,16.58%,,,,
,,A Calcraft,Natural Law,233,0.40%,,,,
,,,,,,,,,
Stirling,*,MB Forsyth,Conservative,19174,39.99%,58267,703,82.29%,Conservative Hold
,,Mrs CW Phillips,Labour,18471,38.52%,,,,
,,GA Fisher,Scottish National,6558,13.68%,,,,
,,WB Robertson,Liberal Democrat,3337,6.96%,,,,
,,WR Thomson,Green,342,0.71%,,,,
,,R Sharp,Monster Raving Loony,68,0.14%,,,,
,,,,,,,,,
Stockport,,Mrs MA Coffey,Labour,21096,44.14%,58096,1422,82.27%,Labour Gain
,*,AR Favell,Conservative,19674,41.16%,,,,
,,Mrs AC Corris,Liberal Democrat,6539,13.68%,,,,
,,Miss JA Filmore,Green,436,0.91%,,,,
,,DN Saunders,Natural Law,50,0.10%,,,,
,,,,,,,,,
Stockton North,*,F Cook,Labour,27918,52.31%,69458,10474,76.83%,Labour Hold
,,SE Brocklebank-Fowler,Conservative,17444,32.69%,,,,
,,Mrs S Fletcher,Liberal Democrat,7454,13.97%,,,,
,,K McGarvey,Independent Labour,550,1.03%,,,,
,,,,,,,,,
Stockton South,*,TR Devlin,Conservative,28418,45.20%,75959,3369,82.78%,Conservative Hold
,,JM Scott,Labour,25049,39.84%,,,,
,,Mrs KR Kirkham,Liberal Democrat,9410,14.97%,,,,
,,,,,,,,,
Stoke-on-Trent Central,*,M Fisher,Labour,25897,58.01%,65528,13420,68.13%,Labour Hold
,,NJ Gibb,Conservative,12477,27.95%,,,,
,,MJ Dent,Liberal Democrat,6073,13.60%,,,,
,,NA Pullen,Natural Law,196,0.44%,,,,
,,,,,,,,,
Stoke-on-Trent North,*,Miss JL Walley,Labour,30464,56.72%,73141,14777,73.43%,Labour Hold
,,LM Harris,Conservative,15687,29.21%,,,,
,,JP Redfern,Liberal Democrat,7167,13.35%,,,,
,,AH Morrison,Natural Law,387,0.72%,,,,
,,,,,,,,,
Stoke-on-Trent South,,GW Stevenson,Labour,26380,49.76%,71317,6909,74.33%,Labour Hold
,,RM Ibbs,Conservative,19471,36.73%,,,,
,,FA Jones,Liberal Democrat,6870,12.96%,,,,
,,Mrs EA Lines,Natural Law,291,0.55%,,,,
,,,,,,,,,
Strangford,*,JD Taylor,Ulster Unionist,19517,43.58%,68901,8911,65.00%,Ulster Unionist Hold
,,S Wilson,Democratic Unionist,10606,23.68%,,,,
,,K McCarthy,Alliance,7585,16.94%,,,,
,,SJA Eyre,Conservative,6782,15.14%,,,,
,,D Shaw,Natural Law,295,0.66%,,,,
,,,,,,,,,
Stratford-on-Avon,*,AT Howarth,Conservative,40251,59.22%,82818,22892,82.08%,Conservative Hold
,,JN Fogg,Liberal Democrat,17359,25.54%,,,,
,,Ms. SM Brookes,Labour,8932,13.14%,,,,
,,RG Roughan,Green,729,1.07%,,,,
,,AJ Saunders,Independent Conservative,573,0.84%,,,,
,,MR Twite,Natural Law,130,0.19%,,,,
,,,,,,,,,
Strathkelvin and Bearsden,*,Dr. SL Galbraith,Labour,21267,42.26%,61210,3162,82.21%,Labour Hold
,,MW Hirst,Conservative,18105,35.98%,,,,
,,T Chalmers,Scottish National,6275,12.47%,,,,
,,Mrs B Waterfield,Liberal Democrat,4585,9.11%,,,,
,,DF Whitley,Natural Law,90,0.18%,,,,
,,,,,,,,,
Streatham,,TK Hill,Labour,18925,47.04%,57212,2317,70.32%,Labour Gain
,*,Sir WJM Shelton,Conservative,16608,41.28%,,,,
,,MJ Pindar,Liberal Democrat,3858,9.59%,,,,
,,RCL Baker,Green,443,1.10%,,,,
,,A Hankin,Islamic of Britain,154,0.38%,,,,
,,Mrs CD Payne,Rainbow Alliance,145,0.36%,,,,
,,JV Parsons,Natural Law,97,0.24%,,,,
,,,,,,,,,
Stretford,*,AJ Lloyd,Labour,22300,59.54%,54468,11137,68.76%,Labour Hold
,,JCB Rae,Conservative,11163,29.81%,,,,
,,FC Beswick,Liberal Democrat,3722,9.94%,,,,
,,LA Boyton,Natural Law,268,0.72%,,,,
,,,,,,,,,
Stroud,*,RM Knapman,Conservative,32201,46.16%,82553,13405,84.49%,Conservative Hold
,,DE Drew,Labour,18796,26.95%,,,,
,,MP Robinson,Liberal Democrat,16751,24.01%,,,,
,,Ms. SM Atkinson,Green,2005,2.87%,,,,
,,,,,,,,,
Suffolk Central,*,MN Lord,Conservative,32917,49.57%,82735,16031,80.27%,Conservative Hold
,,Ms. LA Henniker-Major,Liberal Democrat,16886,25.43%,,,,
,,JW Harris,Labour,15615,23.51%,,,,
,,JE Matthissen,Green,800,1.20%,,,,
,,Ms. JC Wilmot,Natural Law,190,0.29%,,,,
,,,,,,,,,
Suffolk Coastal,*,JS Gummer,Conservative,34680,53.55%,79334,19285,81.63%,Conservative Hold
,,PD Monk,Liberal Democrat,15395,23.77%,,,,
,,TE Hodgson,Labour,13508,20.86%,,,,
,,AC Slade,Green,943,1.46%,,,,
,,Ms. FB Kaplan,Natural Law,232,0.36%,,,,
,,,,,,,,,
Suffolk South,*,TSK Yeo,Conservative,34773,50.16%,84835,17269,81.71%,Conservative Hold
,,Mrs AK Pollard,Liberal Democrat,17504,25.25%,,,,
,,S Hesford,Labour,16623,23.98%,,,,
,,T Aisbitt,Natural Law,420,0.61%,,,,
,,,,,,,,,
Sunderland North,,W Etherington,Labour,30481,60.73%,72874,17004,68.87%,Labour Hold
,,Miss JV Barnes,Conservative,13477,26.85%,,,,
,,VL Halom,Liberal Democrat,5389,10.74%,,,,
,,Mrs WE Lundgren,Liberal,841,1.68%,,,,
,,,,,,,,,
Sunderland South,*,CJ Mullin,Labour,29399,57.94%,72608,14501,69.88%,Labour Hold
,,GE Howe,Conservative,14898,29.36%,,,,
,,JA Lennox,Liberal Democrat,5844,11.52%,,,,
,,T Scouler,Green,596,1.17%,,,,
,,,,,,,,,
Surbiton,*,RP Tracey,Conservative,19033,54.42%,42422,9639,82.44%,Conservative Hold
,,Mrs B Janke,Liberal Democrat,9394,26.86%,,,,
,,RT Hutchinson,Labour,6384,18.25%,,,,
,,W Parker,Natural Law,161,0.46%,,,,
,,,,,,,,,
Surrey East,,PM Ainsworth,Conservative,29767,62.31%,58014,17656,82.35%,Conservative Hold
,,RL Tomlin,Liberal Democrat,12111,25.35%,,,,
,,Mrs GM Roles,Labour,5075,10.62%,,,,
,,IT Kilpatrick,Green,819,1.71%,,,,
,,,,,,,,,
Surrey North West,*,Sir WMJ Grylls,Conservative,41772,63.80%,83577,28394,78.34%,Conservative Hold
,,Mrs CM Clark,Liberal Democrat,13378,20.43%,,,,
,,RM Hayhurst,Labour,8886,13.57%,,,,
,,Mrs Y Hockey,Green,1441,2.20%,,,,
,,,,,,,,,
Surrey South West,*,Mrs VHBM Bottomley,Conservative,35008,58.51%,72312,14975,82.75%,Conservative Hold
,,NR Sherlock,Liberal Democrat,20033,33.48%,,,,
,,PJ Kelly,Labour,3840,6.42%,,,,
,,N Bedrock,Green,710,1.19%,,,,
,,KS Campbell,Natural Law,147,0.25%,,,,
,,D Newman,Independent,98,0.16%,,,,
,,,,,,,,,
Sussex Mid,*,RT Renton,Conservative,39524,59.02%,80828,20528,82.85%,Conservative Hold
,,Mrs ME Collins,Liberal Democrat,18996,28.36%,,,,
,,Ms. LC Gregory,Labour,6951,10.38%,,,,
,,HG Stevens,Green,772,1.15%,,,,
,,PB Berry,Monster Raving Loony,392,0.59%,,,,
,,PD Hodkin,Independent,246,0.37%,,,,
,,Dr. AMA Hankey,Natural Law,89,0.13%,,,,
,,,,,,,,,
Sutton and Cheam,,Lady O Maitland,Conservative,27710,55.18%,60995,10756,82.34%,Conservative Hold
,,PK Burstow,Liberal Democrat,16954,33.76%,,,,
,,GC Martin,Labour,4980,9.92%,,,,
,,J Duffy,Green,444,0.88%,,,,
,,Mrs AR Hatchard,Natural Law,133,0.26%,,,,
,,,,,,,,,
Sutton Coldfield,*,Sir PN Fowler,Conservative,37001,65.17%,71444,26036,79.47%,Conservative Hold
,,JE Whorwood,Liberal Democrat,10965,19.31%,,,,
,,Mrs JM Bott-Obi,Labour,8490,14.95%,,,,
,,HS Meads,Natural Law,324,0.57%,,,,
,,,,,,,,,
Swansea East,*,D Anderson,Labour,31179,69.70%,59187,23482,75.58%,Labour Hold
,,HL Davies,Conservative,7697,17.21%,,,,
,,RE Barton,Liberal Democrat,4248,9.50%,,,,
,,Miss EE Bonner-Evans,Plaid Cymru,1607,3.59%,,,,
,,,,,,,,,
Swansea West,*,AJ Williams,Labour,23238,52.99%,59791,9478,73.34%,Labour Hold
,,RJ Perry,Conservative,13760,31.38%,,,,
,,MJ Shrewsbury,Liberal Democrat,4620,10.54%,,,,
,,DR Lloyd,Plaid Cymru,1668,3.80%,,,,
,,GE Oubridge,Green,564,1.29%,,,,
,,,,,,,,,
Swindon,*,SC Coombs,Conservative,31749,43.27%,90068,2826,81.46%,Conservative Hold
,,JP D’Avila,Labour,28923,39.42%,,,,
,,SR Cordon,Liberal Democrat,11737,16.00%,,,,
,,JV Hughes,Green,647,0.88%,,,,
,,CR Gillard,Raving Loony Green Giant,236,0.32%,,,,
,,VF Farrar,Independent,78,0.11%,,,,
,,,,,,,,,
Tatton,*,MN Hamilton,Conservative,31658,55.09%,71085,15860,80.84%,Conservative Hold
,,JM Kelly,Labour,15798,27.49%,,,,
,,Mrs CV Hancox,Liberal Democrat,9597,16.70%,,,,
,,MG Gibson,Independent,410,0.71%,,,,
,,,,,,,,,
Taunton,*,DJ Nicholson,Conservative,29576,46.04%,78037,3336,82.33%,Conservative Hold
,,Mrs JM Ballard,Liberal Democrat,26240,40.84%,,,,
,,Mrs LJ Hole,Labour,8151,12.69%,,,,
,,PA Leavey,Natural Law,279,0.43%,,,,
,,,,,,,,,
Tayside North,*,WC Walker,Conservative,20283,46.67%,55970,3995,77.64%,Conservative Hold
,,JR Swinney,Scottish National,16288,37.48%,,,,
,,SA Horner,Liberal Democrat,3791,8.72%,,,,
,,TAS MacLennan,Labour,3094,7.12%,,,,
,,,,,,,,,
Teignbridge,*,PCM Nicholls,Conservative,31274,50.05%,75798,8858,82.44%,Conservative Hold
,,RA Younger-Ross,Liberal Democrat,22416,35.87%,,,,
,,RA Kennedy,Labour,8128,13.01%,,,,
,,A Hope,Monster Raving Loony,437,0.70%,,,,
,,NJ Hayes,Natural Law,234,0.37%,,,,
,,,,,,,,,
Thanet North,*,RJ Gale,Conservative,30867,57.20%,70977,18210,76.02%,Conservative Hold
,,AM Bretman,Labour,12657,23.46%,,,,
,,Ms. JL Phillips,Liberal Democrat,9563,17.72%,,,,
,,Mrs HF Dawe,Green,873,1.62%,,,,
,,,,,,,,,
Thanet South,*,JWP Aitken,Conservative,25253,51.74%,62440,11513,78.17%,Conservative Hold
,,MS James,Labour,13740,28.15%,,,,
,,WH Pitt,Liberal Democrat,8948,18.33%,,,,
,,Ms. S Peckham,Green,871,1.78%,,,,
,,,,,,,,,
Thurrock,,AS MacKinlay,Labour,24791,45.86%,69211,1172,78.11%,Labour Gain
,*,TS Janman,Conservative,23619,43.69%,,,,
,,AJ Banton,Liberal Democrat,5145,9.52%,,,,
,,CW Rogers,Independent,391,0.72%,,,,
,,P Compobassi,Anti-Federalist League,117,0.22%,,,,
,,,,,,,,,
Tiverton,,Mrs AF Browning,Conservative,30376,51.54%,70742,11089,83.32%,Conservative Hold
,,DN Cox,Liberal Democrat,19287,32.72%,,,,
,,Ms. SC Gibb,Labour,5950,10.09%,,,,
,,DJ Morrish,Liberal,2225,3.77%,,,,
,,PJ Foggitt,Green,1007,1.71%,,,,
,,BC Rhodes,Natural Law,96,0.16%,,,,
,,,,,,,,,
Tonbridge and Malling,*,JP Stanley,Conservative,36542,57.19%,77257,21558,82.70%,Conservative Hold
,,PD Roberts,Liberal Democrat,14984,23.45%,,,,
,,Mrs MA O'Neill,Labour,11533,18.05%,,,,
,,J Tidy,Green,612,0.96%,,,,
,,Mrs JIR Horvath,Natural Law,221,0.35%,,,,
,,,,,,,,,
Tooting,*,TM Cox,Labour,24601,48.15%,68307,4107,74.79%,Labour Hold
,,MAS Winter,Conservative,20494,40.12%,,,,
,,RJ Bunce,Liberal Democrat,3776,7.39%,,,,
,,Mrs C Martin,Liberal,1340,2.62%,,,,
,,PJ Owens,Green,694,1.36%,,,,
,,F Anklesaria,Natural Law,119,0.23%,,,,
,,MN Whitelaw,Independent Democrat,64,0.13%,,,,
,,,,,,,,,
Torbay,*,RWS Allason,Conservative,28624,49.88%,71184,5787,80.62%,Conservative Hold
,,AM Sanders,Liberal Democrat,22837,39.79%,,,,
,,Dr. P Truscott,Labour,5503,9.59%,,,,
,,RP Jones,National Front,268,0.47%,,,,
,,Mrs AH Thomas,Natural Law,157,0.27%,,,,
,,,,,,,,,
Torfaen,*,PP Murphy,Labour,30352,64.12%,61103,20754,77.47%,Labour Hold
,,MC Watkins,Conservative,9598,20.28%,,,,
,,MG Hewson,Liberal Democrat,6178,13.05%,,,,
,,JI Cox,Plaid Cymru/Green,1210,2.56%,,,,
,,,,,,,,,
Tottenham,*,BAM Grant,Labour,25309,56.46%,68404,11968,65.53%,Labour Hold
,,AL Charalambous,Conservative,13341,29.76%,,,,
,,ASG L’Estrange,Liberal Democrat,5120,11.42%,,,,
,,P Budge,Green,903,2.01%,,,,
,,Mrs M Obomanu,Natural Law,150,0.33%,,,,
,,,,,,,,,
Truro,*,MOJ Taylor,Liberal Democrat,31230,50.49%,75119,7570,82.34%,Liberal Democrat Gain
,,NF St. Aubyn,Conservative,23660,38.25%,,,,
,,JH Geach,Labour,6078,9.83%,,,,
,,LM Keating,Green,569,0.92%,,,,
,,CM Tankard,Liberal,208,0.34%,,,,
,,Ms. MKF Hartley,Natural Law,108,0.17%,,,,
,,,,,,,,,
Tunbridge Wells,*,Sir PBB Mayhew,Conservative,34162,56.94%,76807,17132,78.11%,Conservative Hold
,,AS Clayton,Liberal Democrat,17030,28.39%,,,,
,,EAC Goodman,Labour,8300,13.83%,,,,
,,EW Fenna,Natural Law,267,0.45%,,,,
,,R Edey,Independent,236,0.39%,,,,
,,,,,,,,,
"Tweeddale Ettrick and Lauderdale",*,Sir DMS Steel,Liberal Democrat,12296,39.89%,39478,2520,78.07%,Liberal Democrat Gain
,,LA Beat,Conservative,9776,31.72%,,,,
,,Mrs C Creech,Scottish National,5244,17.01%,,,,
,,EA Dunton,Labour,3328,10.80%,,,,
,,J Hein,Liberal,177,0.57%,,,,
,,,,,,,,,
Twickenham,*,TFH Jessel,Conservative,26804,50.43%,63152,5711,84.17%,Conservative Hold
,,JV Cable,Liberal Democrat,21093,39.68%,,,,
,,MD Gold,Labour,4919,9.25%,,,,
,,GP Gill,Natural Law,152,0.29%,,,,
,,DW Griffiths,Independent Democrat,103,0.19%,,,,
,,AJ Miners,Liberal,85,0.16%,,,,
,,,,,,,,,
Tyne Bridge,*,DG Clelland,Labour,22328,67.15%,53080,15210,62.64%,Labour Hold
,,CM Liddell-Grainger,Conservative,7118,21.41%,,,,
,,JS Burt,Liberal Democrat,3804,11.44%,,,,
,,,,,,,,,
Tynemouth,*,NG Trotter,Conservative,27731,46.02%,74956,597,80.40%,Conservative Hold
,,PJ Cosgrove,Labour,27134,45.03%,,,,
,,PJS Selby,Liberal Democrat,4855,8.06%,,,,
,,A Buchanan-Smith,Green,543,0.90%,,,,
,,,,,,,,,
Ulster Mid,*,Rev. RTW McCrea,Democratic Unionist,23181,42.33%,69138,6187,79.21%,Democratic Unionist Hold
,,PD Haughey,Social Democratic and Labour,16994,31.03%,,,,
,,B McElduff,Sinn Féin,10248,18.71%,,,,
,,J McLoughlin,Independent,1996,3.64%,,,,
,,Mrs A Gormley,Alliance,1506,2.75%,,,,
,,H Hutchinson,Labour and Trade Union,389,0.71%,,,,
,,TA Owens,The Workers' (NI),285,0.52%,,,,
,,JM Anderson,Natural Law,164,0.30%,,,,
,,,,,,,,,
Upminster,*,Sir NC Bonsor,Conservative,28791,55.79%,64125,13821,80.48%,Conservative Hold
,,T Ward,Labour,14970,29.01%,,,,
,,TE Hurlstone,Liberal Democrat,7848,15.21%,,,,
,,,,,,,,,
Upper Bann,*,WD Trimble,Ulster Unionist,26824,58.98%,67460,16163,67.42%,Ulster Unionist Hold
,,Mrs B Rodgers,Social Democratic and Labour,10661,23.44%,,,,
,,BP Curran,Sinn Féin,2777,6.11%,,,,
,,WW Ramsay,Alliance,2541,5.59%,,,,
,,Mrs C Jones,Conservative,1556,3.42%,,,,
,,T French,The Workers' (NI),1120,2.46%,,,,
,,,,,,,,,
Uxbridge,*,JM Shersby,Conservative,27487,56.44%,61604,13179,79.06%,Conservative Hold
,,RJE Evans,Labour,14308,29.38%,,,,
,,SJ Carey,Liberal Democrat,5900,12.11%,,,,
,,IE Flindall,Green,538,1.10%,,,,
,,MR O'Rourke,British National,350,0.72%,,,,
,,AJ Deans,Natural Law,120,0.25%,,,,
,,,,,,,,,
Vale of Glamorgan,,WE Sweeney,Conservative,24220,44.34%,66673,19,81.93%,Conservative Hold
,*,JWP Smith,Labour,24201,44.30%,,,,
,,DK Davies,Liberal Democrat,5045,9.24%,,,,
,,DBL Haswell,Plaid Cymru,1160,2.12%,,,,
,,,,,,,,,
Vauxhall,*,Miss CL Hoey,Labour,21328,54.75%,62595,10488,62.24%,Labour Hold
,,BAR Gentry,Conservative,10840,27.83%,,,,
,,MW Tuffrey,Liberal Democrat,5678,14.58%,,,,
,,Miss PA Shepherd,Green,803,2.06%,,,,
,,AG Khan,Independent,156,0.40%,,,,
,,Miss S Hill,Revolutionary Communist,152,0.39%,,,,
,,,,,,,,,
Wakefield,*,DM Hinchliffe,Labour,26964,50.65%,69825,6590,76.24%,Labour Hold
,,DP Fanthorpe,Conservative,20374,38.27%,,,,
,,TJ Wright,Liberal Democrat,5900,11.08%,,,,
,,,,,,,,,
Wallasey,,Miss A Eagle,Labour,26531,48.94%,65670,3809,82.56%,Labour Gain
,*,Mrs Lynda Chalker,Conservative,22722,41.91%,,,,
,,NRL Thomas,Liberal Democrat,4177,7.70%,,,,
,,Mrs SV Davis,Green,680,1.25%,,,,
,,GNW Gay,Natural Law,105,0.19%,,,,
,,,,,,,,,
Wallsend,,SJ Byers,Labour,33439,57.88%,77941,19470,74.13%,Labour Hold
,,Miss M Gibbon,Conservative,13969,24.18%,,,,
,,MJ Huscroft,Liberal Democrat,10369,17.95%,,,,
,,,,,,,,,
Walsall North,*,DJ Winnick,Labour,24387,46.72%,69605,3824,74.98%,Labour Hold
,,RAR Syms,Conservative,20563,39.40%,,,,
,,AR Powis,Liberal Democrat,6629,12.70%,,,,
,,KA Reynolds,National Front,614,1.18%,,,,
,,,,,,,,,
Walsall South,*,BT George,Labour,24133,48.21%,65643,3178,76.26%,Labour Hold
,,LC Jones,Conservative,20955,41.86%,,,,
,,GE Williams,Liberal Democrat,4132,8.25%,,,,
,,RJ Clarke,Green,673,1.34%,,,,
,,JD Oldbury,Natural Law,167,0.33%,,,,
,,,,,,,,,
Walthamstow,,NF Gerrard,Labour,16251,45.71%,49347,3022,72.04%,Labour Gain
,*,HHF Summerson,Conservative,13229,37.21%,,,,
,,PL Leighton,Liberal Democrat,5142,14.46%,,,,
,,Mrs JD Lambert,Green,594,1.67%,,,,
,,VR Wilkinson,Liberal,241,0.68%,,,,
,,AW Planton,Natural Law,94,0.26%,,,,
,,,,,,,,,
Wansbeck,*,J Thompson,Labour,30046,59.71%,63502,18174,79.24%,Labour Hold
,,HGH Sanderson,Conservative,11872,23.59%,,,,
,,BC Priestley,Liberal Democrat,7691,15.28%,,,,
,,Nic F Best,Green,710,1.41%,,,,
,,,,,,,,,
Wansdyke,*,JH Aspinwall,Conservative,31389,48.24%,77245,13341,84.24%,Conservative Hold
,,D Norris,Labour,18048,27.74%,,,,
,,Mrs D Darby,Liberal Democrat,14834,22.80%,,,,
,,FE Hayden,Green,800,1.23%,,,,
,,,,,,,,,
Wanstead and Woodford,*,JN Arbuthnot,Conservative,26204,59.96%,55867,16885,78.22%,Conservative Hold
,,Mrs LC Brown,Labour,9319,21.32%,,,,
,,GP Staight,Liberal Democrat,7362,16.85%,,,,
,,FM Roads,Green,637,1.46%,,,,
,,AJ Brickell,Natural Law,178,0.41%,,,,
,,,,,,,,,
Wantage,*,RV Jackson,Conservative,30575,54.12%,68329,16473,82.69%,Conservative Hold
,,RMC Morgan,Liberal Democrat,14102,24.96%,,,,
,,VS Woodell,Labour,10955,19.39%,,,,
,,RJ Ely,Green,867,1.53%,,,,
,,,,,,,,,
Warley,*,AMW Faulds,Labour,19891,53.62%,51725,7794,71.72%,Labour Hold
,,GPB Marshall,Conservative,12097,32.61%,,,,
,,ARA Harrod,Liberal Democrat,4547,12.26%,,,,
,,AT Groucutt,Natural Law,561,1.51%,,,,
,,,,,,,,,
Warley West,,JF Spellar,Labour,21386,50.62%,57158,5472,73.91%,Labour Hold
,,Mrs SA Whitehouse,Conservative,15914,37.67%,,,,
,,Miss E Todd,Liberal Democrat,4945,11.71%,,,,
,,,,,,,,,
Warrington North,*,EDH Hoyle,Labour,33019,54.32%,78654,12622,77.28%,Labour Hold
,,C Daniels,Conservative,20397,33.56%,,,,
,,I Greenhalgh,Liberal Democrat,6965,11.46%,,,,
,,BR Davis,Natural Law,400,0.66%,,,,
,,,,,,,,,
Warrington South,,MT Hall,Labour,27819,43.64%,77693,191,82.05%,Labour Gain
,*,CJ Butler,Conservative,27628,43.34%,,,,
,,PJ Walker,Liberal Democrat,7978,12.52%,,,,
,,SD Benson,Natural Law,321,0.50%,,,,
,,,,,,,,,
Warwick and Leamington,*,Sir DG Smith,Conservative,28093,48.35%,71260,8935,81.54%,Conservative Hold
,,M Taylor,Labour,19158,32.97%,,,,
,,Mrs SE Boad,Liberal Democrat,9645,16.60%,,,,
,,Ms. JA Alty,Green,803,1.38%,,,,
,,R Newby,Independent,251,0.43%,,,,
,,JL Brewster,Natural Law,156,0.27%,,,,
,,,,,,,,,
Warwickshire North,,M O'Brien,Labour,27599,46.07%,71473,1454,83.82%,Labour Gain
,*,FAA Maude,Conservative,26145,43.64%,,,,
,,NR Mitchell,Liberal Democrat,6167,10.29%,,,,
,,,,,,,,,
Watford,*,WATT Garel-Jones,Conservative,29072,48.84%,72291,9590,82.34%,Conservative Hold
,,MJ Jackson,Labour,19482,32.73%,,,,
,,M Oaten,Liberal Democrat,10231,17.19%,,,,
,,J Hywel-Davis,Green,566,0.95%,,,,
,,LJK Davis,Natural Law,176,0.30%,,,,
,,,,,,,,,
Waveney,*,DJ Porter,Conservative,33174,48.17%,84181,6702,81.82%,Conservative Hold
,,EC Leverett,Labour,26472,38.44%,,,,
,,AC Rogers,Liberal Democrat,8925,12.96%,,,,
,,D Hook,Natural Law,302,0.44%,,,,
,,,,,,,,,
Wealden,*,Sir G Johnson-Smith,Conservative,37263,61.74%,74558,20931,80.95%,Conservative Hold
,,MD Skinner,Liberal Democrat,16332,27.06%,,,,
,,S Billcliffe,Labour,5579,9.24%,,,,
,,I Guy-Moore,Green,1002,1.66%,,,,
,,Dr. RF Graham,Natural Law,182,0.30%,,,,
,,,,,,,,,
Wellingborough,*,PD Fry,Conservative,32302,53.39%,73876,11816,81.90%,Conservative Hold
,,PA Sawford,Labour,20486,33.86%,,,,
,,Ms. JE Trevor,Liberal Democrat,7714,12.75%,,,,
,,,,,,,,,
Wells,*,DP Heathcoat-Amory,Conservative,28620,49.55%,69833,6649,82.71%,Conservative Hold
,,HPN Temperley,Liberal Democrat,21971,38.04%,,,,
,,JW Pilgrim,Labour,6126,10.61%,,,,
,,MR Fenner,Green,1042,1.80%,,,,
,,,,,,,,,
Welwyn Hatfield,*,DJ Evans,Conservative,29447,48.36%,72236,8465,84.29%,Conservative Hold
,,RA Little,Labour,20982,34.46%,,,,
,,RG Parker,Liberal Democrat,10196,16.75%,,,,
,,Ms. ET Lucas,Natural Law,264,0.43%,,,,
,,,,,,,,,
Wentworth,*,P Hardy,Labour,32939,68.54%,64915,22449,74.03%,Labour Hold
,,MJ Brennan,Conservative,10490,21.83%,,,,
,,Ms. C Roderick,Liberal Democrat,4629,9.63%,,,,
,,,,,,,,,
West Bromwich East,*,PC Snape,Labour,19913,46.18%,56945,2813,75.72%,Labour Hold
,,CJR Blunt,Conservative,17100,39.66%,,,,
,,MG Smith,Liberal Democrat,5630,13.06%,,,,
,,JBR Lord,National Front,477,1.11%,,,,
,,,,,,,,,
West Bromwich West,*,Miss Betty Boothroyd,Labour,22251,54.81%,57666,7830,70.40%,The Speaker Gain
,,DA Swayne,Conservative,14421,35.52%,,,,
,,Miss SEH Broadbent,Liberal Democrat,3925,9.67%,,,,
,,,,,,,,,
Westbury,,DJC Faber,Conservative,36568,50.45%,87537,12618,82.81%,Conservative Hold
,,Ms. VA Rayner,Liberal Democrat,23950,33.04%,,,,
,,W Stallard,Labour,9642,13.30%,,,,
,,PI Macdonald,Liberal,1440,1.99%,,,,
,,PR French,Green,888,1.23%,,,,
,,,,,,,,,
Western Isles,*,CA MacDonald,Labour,7664,47.81%,22785,1703,70.35%,Labour Hold
,,Ms. FM MacFarlane,Scottish National,5961,37.19%,,,,
,,RJ Heany,Conservative,1362,8.50%,,,,
,,N Mitchison,Liberal Democrat,552,3.44%,,,,
,,AR Price,Independent,491,3.06%,,,,
,,,,,,,,,
Westminster North,*,Sir JD Wheeler,Conservative,21828,48.96%,59405,3733,75.05%,Conservative Hold
,,Miss JF Edwards,Labour,18095,40.59%,,,,
,,LJ Wigoder,Liberal Democrat,3349,7.51%,,,,
,,Miss AN Burke,Green,1017,2.28%,,,,
,,JR Hinde,Natural Law,159,0.36%,,,,
,,MFD Kelly,Anti-Federalist League,137,0.31%,,,,
,,,,,,,,,
Westmorland and Lonsdale,*,TM Jopling,Conservative,31798,56.90%,71864,16436,77.76%,Conservative Hold
,,SB Collins,Liberal Democrat,15362,27.49%,,,,
,,Miss DJ Abbott,Labour,8436,15.10%,,,,
,,RA Johnstone,Natural Law,287,0.51%,,,,
,,,,,,,,,
Weston-super-Mare,*,AW Wiggin,Conservative,30022,47.75%,78843,5342,79.75%,Conservative Hold
